"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D148","3.2X1.6X1.1","129.42mm","176.254mm","129.42mm","176.254mm","127.67mm","176.254mm","T","360.00","LED2"
"D147","3.2X1.6X1.1","115.92mm","176.254mm","115.92mm","176.254mm","114.17mm","176.254mm","T","360.00","LED2"
"D146","3.2X1.6X1.1","102.42mm","176.254mm","102.42mm","176.254mm","100.67mm","176.254mm","T","360.00","LED2"
"D145","3.2X1.6X1.1","88.92mm","176.254mm","88.92mm","176.254mm","87.17mm","176.254mm","T","360.00","LED2"
"D144","3.2X1.6X1.1","291.42mm","186.254mm","291.42mm","186.254mm","289.67mm","186.254mm","T","360.00","LED2"
"D143","3.2X1.6X1.1","277.9199mm","186.254mm","277.9199mm","186.254mm","276.1699mm","186.254mm","T","360.00","LED2"
"D142","3.2X1.6X1.1","264.4199mm","186.254mm","264.4199mm","186.254mm","262.6699mm","186.254mm","T","360.00","LED2"
"D141","3.2X1.6X1.1","250.92mm","186.254mm","250.92mm","186.254mm","249.1699mm","186.254mm","T","360.00","LED2"
"D140","3.2X1.6X1.1","237.42mm","186.254mm","237.42mm","186.254mm","235.6699mm","186.254mm","T","360.00","LED2"
"D139","3.2X1.6X1.1","223.92mm","186.254mm","223.92mm","186.254mm","222.1699mm","186.254mm","T","360.00","LED2"
"D138","3.2X1.6X1.1","210.42mm","186.254mm","210.42mm","186.254mm","208.6699mm","186.254mm","T","360.00","LED2"
"D137","3.2X1.6X1.1","196.92mm","186.254mm","196.92mm","186.254mm","195.1699mm","186.254mm","T","360.00","LED2"
"D136","3.2X1.6X1.1","183.42mm","186.254mm","183.42mm","186.254mm","181.6699mm","186.254mm","T","360.00","LED2"
"D135","3.2X1.6X1.1","169.92mm","186.254mm","169.92mm","186.254mm","168.17mm","186.254mm","T","360.00","LED2"
"D134","3.2X1.6X1.1","156.42mm","186.254mm","156.42mm","186.254mm","154.67mm","186.254mm","T","360.00","LED2"
"D133","3.2X1.6X1.1","142.92mm","186.254mm","142.92mm","186.254mm","141.17mm","186.254mm","T","360.00","LED2"
"D132","3.2X1.6X1.1","129.42mm","186.254mm","129.42mm","186.254mm","127.67mm","186.254mm","T","360.00","LED2"
"D131","3.2X1.6X1.1","115.92mm","186.254mm","115.92mm","186.254mm","114.17mm","186.254mm","T","360.00","LED2"
"D130","3.2X1.6X1.1","102.42mm","186.254mm","102.42mm","186.254mm","100.67mm","186.254mm","T","360.00","LED2"
"D129","3.2X1.6X1.1","88.92mm","186.254mm","88.92mm","186.254mm","87.17mm","186.254mm","T","360.00","LED2"
"D128","3.2X1.6X1.1","291.42mm","196.254mm","291.42mm","196.254mm","289.67mm","196.254mm","T","360.00","LED2"
"D127","3.2X1.6X1.1","277.9199mm","196.254mm","277.9199mm","196.254mm","276.1699mm","196.254mm","T","360.00","LED2"
"D126","3.2X1.6X1.1","264.4199mm","196.254mm","264.4199mm","196.254mm","262.6699mm","196.254mm","T","360.00","LED2"
